progress,days_left,team_size,budget_used,task_complexity,risk
50,9,3,27,2,1
50,10,3,76,1,1
58,10,3,37,1,1
57,30,3,25,1,1
35,10,6,65,2,0
50,7,4,97,0,1
9,10,3,47,2,2
19,10,2,81,2,2
50,25,3,61,2,1
50,30,3,29,2,1
50,10,5,85,2,1
24,11,3,20,2,1
82,29,3,64,0,1
68,-1,3,97,2,2
75,18,3,96,1,1
57,24,5,67,0,0
95,25,3,48,2,1
73,10,8,86,1,0
50,29,3,56,1,1
50,10,3,71,0,1
6,-2,3,48,1,2
93,10,3,71,1,1
50,11,5,41,2,0
75,10,3,82,2,1
50,-5,3,100,1,2
10,10,3,37,2,1
89,10,3,94,1,2
50,15,2,53,1,1
50,10,3,100,1,1
8,29,4,39,0,0
47,14,5,95,0,0
50,-4,8,83,2,2
50,10,3,53,2,1
50,-3,3,72,0,2
50,18,3,99,2,1
50,0,3,68,0,1
20,19,2,55,0,1
99,-5,3,53,2,2
7,10,8,52,1,0
69,2,3,28,0,1
50,-3,8,80,2,2
50,11,3,65,2,1
95,-3,3,86,0,2
50,10,3,64,2,1
50,-1,2,84,0,2
27,-1,8,51,0,2
3,13,3,72,1,1
50,25,3,56,0,0
50,10,3,30,0,1
50,10,3,96,1,1
41,13,3,54,0,0
50,29,3,24,1,1
50,10,3,78,1,1
40,2,3,61,0,1
50,9,3,39,0,1
88,10,4,97,0,0
2,10,3,68,1,1
38,27,3,30,0,0
50,10,3,51,0,0
50,-3,3,61,1,2
50,10,5,39,1,0
2,10,3,80,2,1
50,13,10,45,0,0
64,2,3,97,2,2
20,12,2,48,1,1
39,10,7,61,0,1
50,10,3,77,1,1
73,10,1,68,0,0
82,12,7,97,1,0
50,10,8,64,0,0
68,-3,3,93,0,2
14,10,5,99,0,1
50,10,3,21,2,1
5,2,3,94,1,2
48,10,1,41,0,0
50,-3,3,52,0,2
50,28,7,63,2,0
50,7,3,32,0,2
50,16,3,80,0,1
22,17,3,96,2,2
13,10,5,75,0,0
31,10,3,49,2,1
64,10,7,47,1,0
50,30,3,31,2,1
31,16,3,77,2,1
90,10,3,85,0,0
16,22,10,46,0,0
50,5,3,83,0,1
57,10,8,91,1,1
50,10,3,89,0,1
85,22,7,29,2,1
50,10,9,85,2,1
11,24,10,22,2,1
22,16,3,78,1,1
50,10,3,86,1,1
78,0,1,53,2,2
50,6,3,75,2,1
50,10,6,28,2,0
50,10,7,84,1,0
50,10,6,71,2,1
50,15,3,87,0,1
50,27,8,35,1,0
39,10,1,95,0,1
22,10,3,33,0,1
50,10,3,27,0,0
50,6,3,73,1,1
4,10,4,84,2,1
50,10,3,56,1,2
77,10,7,58,2,0
50,13,3,94,2,1
50,8,3,43,2,1
93,10,6,61,2,0
50,17,3,51,1,1
0,10,4,77,2,1
9,10,3,20,0,1
7,10,3,83,1,1
50,10,7,32,1,0
50,5,1,48,1,1
50,10,3,56,1,1
75,-3,3,35,2,2
11,16,3,40,0,1
100,21,6,45,2,0
32,25,1,88,0,1
71,28,2,53,2,1
24,20,10,53,1,1
43,10,1,81,2,2
2,10,7,86,2,1
50,5,3,71,1,1
46,9,3,61,0,1
50,10,3,98,2,1
50,10,6,46,1,0
50,10,3,71,1,1
50,10,5,54,1,0
44,10,10,74,2,1
77,20,3,36,2,1
12,10,3,85,1,1
50,21,10,76,0,0
61,10,5,89,0,0
72,22,1,39,1,0
27,25,9,47,1,0
50,-1,2,75,0,2
50,10,4,28,0,0
50,23,3,81,1,1
67,10,5,44,0,0
50,10,3,34,1,1
16,19,5,100,2,1
50,17,7,99,1,1
88,23,3,28,1,0
50,28,8,88,1,1
16,6,2,53,2,2
0,15,1,37,1,1
50,10,3,51,1,1
39,23,3,20,1,1
50,10,4,68,1,1
81,2,3,40,0,1
50,10,10,20,2,0
17,10,3,96,1,1
95,-1,3,96,2,2
50,6,4,85,1,1
50,10,3,82,1,1
50,-5,3,72,0,2
87,10,3,58,1,0
50,10,3,46,1,1
50,10,3,92,2,1
50,17,3,47,1,1
50,21,3,27,0,0
50,10,3,81,2,1
83,10,8,84,1,0
26,16,1,100,1,1
63,8,3,87,1,1
62,10,3,85,0,0
50,10,3,42,0,0
48,-2,3,34,1,2
77,10,5,86,2,1
64,10,4,84,1,0
50,24,2,94,2,2
53,10,3,43,0,0
50,5,3,45,2,1
50,27,7,51,2,0
24,10,2,55,1,1
50,6,3,78,2,1
83,0,3,62,0,1
50,10,3,43,0,0
50,10,1,92,1,1
50,10,3,99,2,1
50,10,7,60,2,0
24,17,3,56,0,1
50,10,3,62,0,0
6,10,9,74,2,1
50,3,7,23,1,1
50,10,7,91,0,0
43,24,2,29,2,1
50,10,6,53,0,0
59,14,3,51,2,1
55,10,3,77,1,1
50,29,8,99,0,0
77,23,4,41,0,0
50,10,3,85,0,1
50,10,8,89,2,1
50,10,5,21,2,0
50,5,2,73,2,2
50,10,3,53,2,1
35,28,6,40,1,0
21,30,3,45,2,1
4,27,8,49,2,1
50,-2,2,69,0,2
50,25,3,40,1,1
39,10,3,24,2,1
86,5,3,78,0,1
12,27,3,49,2,1
50,-2,3,99,2,2
54,30,6,36,2,0
50,10,8,89,0,0
26,10,9,65,1,0
43,14,3,67,2,1
16,3,5,96,0,2
81,10,3,36,0,0
59,18,3,46,0,0
35,10,3,89,0,1
50,10,3,84,0,1
50,10,3,89,1,1
70,20,3,20,2,1
50,10,3,93,2,1
71,-4,3,35,2,2
50,28,3,65,0,0
50,0,3,30,1,1
50,10,2,93,0,1
50,15,3,93,1,1
67,10,3,40,0,0
45,26,3,24,2,1
13,10,3,33,2,1
50,24,3,31,2,1
50,7,5,72,0,0
82,10,6,38,1,0
18,18,3,63,1,1
97,22,8,28,1,0
50,4,4,37,2,1
84,10,3,34,1,0
92,18,3,69,1,0
37,10,3,33,2,1
50,10,3,60,2,1
70,14,3,96,2,1
5,5,3,55,1,1
22,-5,8,42,1,2
9,-1,3,40,0,2
1,10,3,48,0,1
67,10,3,93,2,2
12,10,2,59,0,1
99,-3,3,67,2,2
50,17,1,56,2,1
15,10,3,85,0,1
50,24,3,49,1,1
63,10,3,67,2,1
68,17,3,24,1,0
50,25,6,69,0,0
20,10,3,63,2,1
50,10,3,86,2,1
86,10,4,49,1,0
50,29,7,49,2,0
50,10,3,26,0,0
50,30,2,80,1,1
70,10,3,56,0,0
50,17,3,47,2,1
50,10,6,69,1,0
48,10,3,59,2,1
50,10,3,37,1,1
50,1,3,75,0,1
50,10,3,85,0,1
60,10,4,47,0,0
50,30,3,65,0,0
50,10,2,49,0,0
0,13,1,62,2,2
50,10,3,42,2,1
50,-3,4,79,1,2
50,10,3,100,0,1
50,30,3,65,1,1
50,23,3,52,0,0
7,29,2,78,2,2
50,10,3,53,0,0
50,1,2,98,2,2
43,10,3,43,0,0
30,6,3,89,1,1
22,23,2,99,0,1
50,26,3,21,0,0
42,10,3,21,1,1
1,7,3,85,0,1
50,17,3,96,1,1
81,-4,3,73,2,2
50,-1,3,28,1,2
50,30,4,77,0,0
61,10,3,23,1,1
50,12,3,32,0,0
50,10,3,40,0,0
18,10,3,78,1,1
100,10,5,27,0,0
50,10,9,96,1,1
50,22,3,66,2,1
62,25,8,83,1,1
63,4,3,91,2,2
50,9,6,92,1,1
50,10,8,54,2,0
50,0,3,72,0,1
72,28,3,80,1,1
50,10,3,87,1,1
16,10,6,77,1,1
68,-1,3,40,1,2
37,10,5,96,2,1
59,13,3,60,1,1
50,10,3,95,0,1
50,-1,3,88,1,2
50,9,1,33,0,1
50,10,5,92,2,1
99,10,4,35,2,0
4,29,3,48,0,1
50,10,9,46,1,0
50,10,3,20,0,0
4,27,3,95,2,2
11,20,1,81,0,1
48,10,7,47,0,0
50,4,2,23,1,2
94,0,5,79,1,1
50,4,3,61,2,1
66,0,6,60,2,1
50,3,3,85,1,1
59,17,3,60,2,1
50,28,3,64,0,0
50,13,3,73,1,1
5,11,3,96,0,2
21,-4,3,25,2,2
50,-1,6,76,1,2
50,13,10,22,0,0
94,0,3,100,1,1
85,10,5,93,2,2
55,24,3,25,2,1
50,10,4,67,0,1
79,14,3,68,0,0
48,24,3,100,1,1
2,17,3,70,2,1
87,10,3,91,1,1
85,24,3,64,1,0
50,10,5,45,1,0
97,4,7,20,0,0
50,6,3,38,0,1
50,5,3,72,2,1
50,10,3,30,1,1
50,2,9,44,1,1
50,2,3,70,1,1
34,10,3,79,0,1
17,10,10,52,2,2
94,16,3,91,0,1
50,10,3,40,0,0
50,10,3,82,1,1
87,-5,3,41,0,1
50,10,9,42,1,0
50,8,3,39,1,1
37,10,7,67,1,0
50,6,2,46,1,1
99,20,6,79,1,0
53,10,3,46,0,0
86,10,8,61,0,0
27,9,3,94,2,2
6,10,10,85,1,1
20,10,1,88,2,2
56,16,3,83,0,1
78,10,10,100,1,0
50,10,3,78,0,1
70,3,3,22,1,1
73,-5,10,24,2,1
50,23,3,47,1,1
50,10,1,24,1,1
50,10,3,68,2,1
50,10,9,33,1,0
50,23,3,25,2,1
50,11,8,50,1,0
83,18,3,91,0,1
6,10,3,55,2,1
95,-5,3,50,0,2
36,10,8,55,0,0
55,26,8,68,1,0
50,10,3,29,0,0
50,-4,3,76,0,2
65,10,3,70,0,0
49,10,9,77,0,0
24,10,3,33,1,1
25,-2,3,92,1,2
22,13,6,54,0,0
33,10,3,60,2,1
50,10,3,96,1,1
50,8,4,74,0,0
50,10,3,69,1,1
50,10,3,86,1,1
50,22,5,78,1,0
50,10,3,77,0,2
50,3,1,80,0,1
50,10,3,70,1,1
50,10,3,51,1,1
97,13,3,94,1,1
38,10,6,100,0,0
50,10,10,22,0,0
10,20,10,44,0,0
45,19,3,84,0,1
50,10,5,59,1,0
50,29,3,99,1,1
50,10,7,44,1,0
18,10,3,96,2,2
33,10,9,35,0,0
86,10,1,98,1,1
50,6,3,99,1,1
50,10,5,73,2,1
50,26,3,33,0,0
52,0,9,77,1,1
84,3,1,74,1,1
50,-1,3,82,1,2
24,24,3,53,2,1
24,12,3,66,2,1
50,10,3,79,0,1
95,10,5,47,2,0
94,10,1,98,2,2
50,-2,1,77,2,2
15,-5,3,80,1,2
67,10,3,91,2,1
50,10,7,48,1,0
50,10,3,75,0,1
47,10,3,64,1,1
50,28,1,62,0,1
77,5,1,85,0,1
16,11,3,60,0,1
1,10,9,70,1,0
50,10,5,64,0,0
48,10,2,55,2,1
50,15,7,39,0,1
3,11,7,99,0,1
80,11,6,86,2,1
50,10,3,20,1,1
98,10,3,61,2,1
78,10,3,45,1,0
8,9,3,80,1,1
50,17,9,49,0,0
9,12,7,83,1,1
50,10,3,30,1,1
56,10,4,51,2,0
50,10,6,84,1,0
67,2,7,36,0,0
82,0,9,95,2,1
50,10,10,51,1,0
21,23,3,78,0,1
50,7,3,69,0,1
50,10,1,37,0,0
23,9,9,94,1,1
58,10,3,20,2,1
50,27,3,69,1,1
53,10,10,45,2,0
50,10,7,38,0,0
13,10,3,93,2,2
50,10,9,95,2,1
78,2,6,68,1,0
50,17,3,32,0,0
50,10,3,20,1,1
32,15,4,92,0,0
52,30,3,97,1,1
40,3,3,64,2,1
14,10,3,96,0,1
50,10,1,100,1,1
5,10,3,31,2,2
50,10,2,48,0,0
39,10,3,72,2,1
50,10,3,34,1,1
92,10,9,46,2,0
15,10,3,21,1,2
50,27,3,83,1,1
50,10,3,89,1,1
50,1,4,30,0,0
24,10,5,46,2,1
21,10,3,65,0,1
50,10,2,42,0,0
21,10,3,92,0,1
50,18,1,46,1,1
46,10,10,65,2,0
85,10,1,38,1,0
20,10,3,52,2,1
50,30,2,77,2,2
50,10,10,70,1,0
50,10,1,57,2,1
90,10,5,73,0,0
60,10,3,89,0,1
50,10,3,37,1,1
2,10,9,69,0,0
99,11,3,78,0,1
21,10,3,31,0,2
27,10,9,36,0,0
58,1,9,81,0,1
76,10,3,87,2,1
50,6,3,27,0,1
55,19,3,93,2,1
50,11,6,56,0,0
50,10,10,35,1,0
50,10,6,50,1,0
97,10,3,87,2,1
15,5,3,35,1,1
2,10,10,79,2,1
50,17,3,31,2,1
39,24,1,80,2,2
50,19,3,44,1,1
43,10,3,85,2,1
63,14,8,98,0,0
37,10,3,65,1,1
30,10,2,44,2,1
50,10,9,57,1,0
85,1,3,38,1,1
61,10,3,41,1,0
50,25,10,87,0,0
50,10,3,50,1,1
46,5,3,57,0,1
50,10,3,98,1,1
98,10,9,41,1,0
69,29,3,52,0,0
65,10,3,93,1,2
50,7,7,36,0,0
50,10,10,39,2,0
68,14,8,45,0,0
98,5,3,75,0,1
40,10,3,66,2,1
50,3,3,100,0,1
50,10,5,88,1,1
67,19,3,84,2,1
50,18,3,25,0,0
27,10,10,47,1,0
50,5,3,43,0,1
46,10,3,46,1,1
50,10,10,58,0,0
50,10,4,63,1,0
50,9,3,98,0,1
50,-3,3,26,2,2
36,15,3,47,2,1
50,10,3,23,2,2
54,10,4,38,0,0
10,18,8,86,2,1
18,10,3,82,2,1
50,19,5,50,1,0
50,-2,4,78,0,1
56,18,3,29,2,1
50,7,3,84,2,1
50,5,8,42,0,0
50,10,3,43,0,0
77,10,3,88,0,1
31,10,3,37,0,0
23,10,3,29,0,1
56,20,3,42,1,1
23,19,1,51,0,1
50,27,3,30,0,0
50,25,4,82,0,0
50,5,1,29,1,1
45,10,3,92,2,1
50,10,3,32,0,0
79,22,3,97,1,1
4,10,3,88,1,1
20,10,3,84,2,1
53,10,1,32,2,1
50,23,3,99,1,1
29,10,3,88,1,1
50,-4,4,25,0,1
44,10,3,54,1,1
58,13,3,71,0,1
50,10,3,30,0,0
50,14,10,79,0,0
91,10,2,51,1,0
50,28,3,100,1,1
52,10,10,42,2,0
50,10,2,72,1,1
65,10,3,56,1,0
19,10,5,59,2,1
94,10,3,53,1,0
50,9,9,64,2,1
34,10,9,70,1,0
50,10,4,20,1,0
68,10,6,57,2,0
72,10,3,27,2,1
57,24,6,54,0,0
50,10,3,43,0,0
39,18,3,97,0,1
50,10,3,83,1,1
83,10,3,67,1,0
12,9,3,99,1,2
49,-2,9,42,1,1
50,10,10,69,2,0
50,10,9,65,2,0
50,3,3,50,2,1
41,10,3,54,0,0
65,10,6,97,2,1
49,10,6,89,2,1
50,18,6,51,2,0
50,20,3,86,0,1
80,10,3,89,2,1
31,20,3,27,1,1
50,10,3,88,0,1
73,10,1,88,2,2
50,17,10,76,1,0
50,10,4,77,1,0
50,9,3,89,1,1
30,10,8,52,0,0
50,1,3,60,2,1
50,10,3,95,2,1
50,10,2,65,2,1
50,3,9,57,1,1
50,-5,5,25,0,1
91,-4,3,90,0,2
50,27,10,84,0,0
7,10,3,75,1,1
50,28,3,59,2,1
50,-5,4,73,1,2
6,9,4,42,0,0
74,16,7,98,1,0
51,10,3,55,0,0
29,20,3,85,0,1
50,17,3,95,2,1
50,15,4,54,1,0
6,10,3,89,1,1
50,10,7,70,0,0
50,0,6,64,0,0
50,10,7,43,1,0
18,10,2,24,1,1
50,10,6,23,1,0
1,2,6,67,2,2
9,10,3,42,2,1
93,19,6,52,0,1
50,10,5,39,2,0
74,20,3,79,0,0
70,10,3,26,1,0
62,10,8,56,0,0
50,10,2,82,2,2
15,10,5,94,2,1
50,27,5,73,0,0
50,10,3,79,0,1
49,12,3,39,1,1
77,25,3,63,0,0
97,22,3,56,1,0
50,10,2,41,1,1
7,22,3,21,1,1
50,10,4,86,0,0
50,25,3,28,0,0
50,10,1,64,2,1
79,20,10,56,1,0
72,10,3,72,0,0
50,8,3,45,0,1
50,10,3,79,0,1
69,7,7,21,1,0
50,27,6,76,1,1
50,10,5,25,1,0
50,10,3,33,1,1
80,20,3,62,2,1
66,10,4,67,1,0
20,10,8,95,1,1
64,10,3,36,2,1
31,10,3,72,2,1
79,16,6,47,2,0
50,10,2,32,1,1
50,20,4,52,0,0
21,10,7,93,1,1
50,10,4,48,0,0
69,10,8,24,0,0
50,10,3,55,0,0
67,10,3,24,0,0
50,10,9,70,1,0
50,10,1,86,2,2
73,10,9,50,0,0
50,21,9,49,2,0
50,10,1,94,1,1
50,10,3,77,2,1
50,10,3,27,2,1
77,13,3,76,1,1
39,15,1,85,2,2
14,10,3,67,2,1
50,16,3,53,0,0
50,-3,5,46,2,2
18,-1,6,27,2,2
20,9,10,48,1,1
71,10,3,29,0,0
50,2,3,55,2,1
89,10,3,78,2,1
19,10,7,24,2,1
86,-1,3,33,0,1
50,3,8,65,0,0
51,12,9,90,2,1
50,10,3,26,1,1
50,27,2,32,2,1
50,27,3,39,1,1
84,10,3,20,0,0
30,10,3,56,0,0
51,30,3,70,0,0
50,10,3,37,0,0
1,28,3,27,2,1
50,1,3,45,0,1
67,10,5,74,1,0
1,10,7,75,1,1
28,4,3,44,0,2
50,7,3,88,0,1
50,10,3,62,0,1
92,10,2,65,0,0
50,3,3,47,2,1
25,10,3,24,2,2
50,10,3,50,0,0
50,30,7,41,2,0
50,18,1,50,0,0
50,16,3,48,1,1
48,10,3,69,2,1
50,12,3,40,1,1
45,16,6,23,0,0
50,10,3,86,1,1
50,29,4,31,1,0
50,10,4,79,1,0
28,9,5,30,0,0
50,16,2,38,0,0
6,16,5,33,2,1
85,10,10,78,0,0
57,10,3,52,1,1
90,10,8,48,2,0
80,-5,4,31,0,1
34,1,3,26,1,1
48,10,1,70,0,0
87,10,7,97,2,1
50,3,3,74,1,1
50,15,3,39,2,1
50,16,1,70,2,1
10,10,1,83,1,1
52,20,3,21,0,0
85,12,3,28,1,0
13,25,10,74,1,1
47,-2,4,48,2,2
50,24,3,41,1,1
28,10,3,67,2,1
50,10,4,54,1,0
50,10,7,95,0,0
50,6,3,32,0,1
50,10,9,63,1,0
50,10,3,66,1,1
44,23,9,80,0,0
8,10,5,57,0,0
54,10,10,57,2,0
50,0,3,60,1,1
50,10,10,96,1,1
50,10,4,35,2,0
60,-4,3,57,2,2
49,10,7,87,1,1
29,11,5,32,2,2
96,10,6,63,0,0
0,26,4,55,0,0
98,10,3,42,1,0
23,10,4,83,2,1
50,10,5,86,0,0
100,0,3,53,2,1
50,10,3,31,2,1
50,24,3,43,1,1
50,10,3,43,0,0
92,15,7,32,1,0
50,10,2,68,0,0
82,10,3,82,1,1
50,10,3,64,0,0
31,25,4,25,0,0
80,18,3,82,1,1
50,16,10,63,2,0
50,17,3,72,1,1
50,10,3,73,0,1
22,10,9,89,1,1
50,10,3,58,1,1
50,10,3,84,0,1
50,3,2,73,2,2
50,28,3,33,0,0
24,10,3,63,0,1
26,22,6,35,0,0
30,11,3,76,2,1
23,10,3,21,0,1
50,10,3,97,2,1
50,1,3,59,2,1
28,2,3,65,1,2
50,22,10,20,0,0
50,1,5,24,2,1
50,21,3,48,1,1
38,29,3,36,1,1
50,19,1,38,1,1
86,24,3,92,0,1
45,10,3,82,2,1
50,10,3,95,0,1
82,24,4,58,2,0
50,10,6,54,2,0
50,10,3,36,2,1
50,25,10,54,1,0
0,2,3,71,0,2
2,10,6,72,1,1
50,10,2,56,0,0
13,10,3,31,2,1
50,10,3,36,2,1
50,10,3,81,2,1
90,-2,3,63,0,1
41,10,3,67,1,1
50,12,3,53,0,0
58,13,3,64,2,1
50,10,4,31,1,0
50,10,7,97,1,1
93,5,3,91,0,1
65,25,3,61,1,0
50,1,9,63,0,0
50,10,3,37,2,1
50,10,3,25,1,1
50,10,4,62,1,1
0,10,7,100,2,1
23,14,3,32,2,1
14,10,9,36,1,0
50,10,9,73,1,0
50,10,3,35,0,0
50,15,3,46,0,0
59,-3,1,86,1,2
50,11,8,57,2,0
50,3,3,32,2,1
50,16,3,98,0,1
50,28,1,96,0,1
50,18,7,90,0,0
28,10,3,51,1,1
50,19,3,77,2,1
86,27,3,36,1,0
50,0,3,100,1,2
50,7,3,80,1,1
85,4,2,25,1,1
89,10,3,64,0,0
50,7,3,39,2,1
50,-2,3,63,1,2
50,10,3,24,0,0
50,29,7,71,0,0
50,17,5,99,0,0
50,27,3,43,1,1
57,10,3,32,0,0
1,28,10,70,0,0
50,18,7,60,0,0
78,2,3,24,0,1
50,10,10,96,1,1
50,10,3,58,2,1
74,10,3,31,0,0
15,-1,3,95,1,2
50,2,3,73,0,1
50,18,8,93,0,0
72,16,9,87,2,1
79,2,7,46,0,0
50,15,5,62,2,0
50,10,3,57,2,1
50,23,3,58,1,1
50,10,8,60,1,0
50,10,10,72,1,0
98,10,7,25,1,0
50,24,3,40,0,0
59,10,3,21,0,0
16,10,3,51,2,1
50,10,9,69,1,1
50,1,8,46,2,1
25,15,3,82,2,1
50,6,3,48,0,1
50,10,9,62,0,0
1,10,3,73,1,1
55,10,2,100,1,1
16,10,3,64,1,1
50,10,3,97,2,1
23,7,6,54,1,1
15,8,3,33,2,1
2,10,3,52,0,1
50,10,3,68,1,1
50,14,3,83,2,1
17,10,10,62,2,1
50,19,7,68,0,0
31,16,3,71,2,1
65,10,1,54,2,1
99,-2,3,46,0,1
74,10,8,62,1,0
50,-1,4,49,2,2
50,18,3,90,2,1
50,10,9,43,2,0
99,10,6,38,1,0
64,8,5,41,2,0
26,10,3,98,1,1
20,20,1,64,1,1
50,10,3,47,1,1
50,10,4,42,1,0
50,10,3,87,0,1
50,24,3,83,1,1
64,24,3,51,1,0
81,10,1,62,0,0
50,10,3,72,2,1
50,26,6,68,2,0
50,10,3,29,2,1
50,18,3,99,1,1
82,4,3,97,1,1
50,10,3,94,1,1
91,12,2,60,2,1
25,10,3,27,1,1
50,10,7,100,2,1
6,10,5,21,1,0
8,10,5,92,0,1
50,12,6,49,0,0
50,10,7,88,1,1
50,10,3,52,1,1
18,10,3,47,0,1
7,28,3,39,1,1
50,10,8,72,2,1
47,10,7,37,2,0
11,4,10,99,2,2
50,6,2,27,2,2
50,14,9,20,0,0
12,10,8,22,0,0
50,10,5,63,2,0
79,30,7,30,0,0
84,-2,3,66,1,2
50,10,3,69,1,1
95,27,3,59,2,1
50,22,3,52,2,1
8,10,3,63,2,1
46,17,9,59,1,0
69,8,3,56,0,0
50,22,10,38,1,0
99,10,3,67,1,0
39,17,3,23,2,1
50,0,7,76,2,1
45,16,10,36,2,1
50,10,2,60,2,1
50,2,3,64,2,1
50,10,2,39,1,1
94,30,3,54,0,0
50,28,3,76,1,1
50,10,2,76,1,1
56,10,8,44,0,0
67,11,3,88,1,1
50,10,3,60,2,1
91,-1,6,32,0,1
50,7,3,39,2,1
59,30,3,78,1,1
50,10,4,45,0,0
50,22,3,48,2,1
27,10,3,31,0,1
88,10,3,43,1,0
50,10,3,82,2,2
26,10,3,55,2,1
50,22,4,74,1,0
74,16,3,20,1,0
50,10,8,79,0,0
50,29,3,29,1,1
1,-3,3,80,2,2
23,10,3,46,1,1
50,10,3,55,0,0
16,8,4,32,1,1
85,10,3,22,0,0
50,10,3,88,2,1
50,19,3,98,2,1
50,10,6,47,1,0
1,23,3,79,2,1
50,2,1,88,0,1
32,10,3,47,2,1
16,17,3,81,0,1
50,10,2,66,2,1
79,28,3,24,0,0
90,23,3,83,2,1
50,10,8,76,2,1
50,10,3,21,2,1
50,10,1,71,2,2
36,10,3,55,2,1
14,25,3,53,0,1
50,10,8,77,0,0
80,10,3,79,1,2
80,6,3,27,0,0
29,-1,3,98,1,2
50,10,3,52,0,0
67,-2,3,100,0,2
50,14,2,35,1,1
50,28,3,48,0,0
70,10,6,47,0,0
50,6,7,55,1,0
50,27,3,60,1,2
45,9,3,58,2,1
50,10,1,94,2,2
50,10,6,35,0,0
26,17,7,84,0,0
50,10,3,41,0,0
37,10,7,97,0,0
50,10,3,74,1,1
77,10,10,30,2,0
8,25,3,39,2,1
50,10,1,31,0,0
50,-1,2,31,1,2
28,10,3,74,2,1
61,10,8,63,2,0
50,10,1,68,0,0
50,24,3,95,1,1
50,10,3,68,1,1
5,10,9,92,0,1
50,10,4,86,1,1
50,23,10,44,0,1
50,10,1,78,1,2
50,-3,1,46,0,2
73,18,8,77,0,0
50,7,3,86,0,1
97,2,8,89,2,1
78,22,3,21,0,0
35,10,3,60,0,0
97,25,3,30,0,0
50,10,5,82,1,0
47,10,1,49,1,1
20,10,10,71,0,0
58,17,3,41,0,1
50,10,3,82,1,1
59,10,3,35,1,1
25,10,3,82,0,1
71,10,6,47,0,0
50,26,3,86,0,1
36,-2,2,23,2,2
50,10,3,59,0,0
36,5,3,96,2,2
86,10,3,39,2,1
50,10,3,57,1,1
50,14,6,74,1,0
89,10,3,75,1,1
50,5,3,72,0,1
50,-4,3,89,0,2
50,-5,3,27,1,2
81,10,9,35,1,0
50,24,3,43,0,0
89,10,5,94,1,0
39,0,2,55,1,1
40,10,7,74,2,1
50,10,1,78,1,1
81,-2,2,55,1,2
50,17,2,47,0,0
50,22,3,59,0,0
50,27,10,20,1,0
17,30,6,22,2,1
76,10,1,76,0,0
50,20,6,40,1,0
50,10,2,32,0,0
37,9,3,69,1,1
50,14,10,89,2,1
20,10,3,63,2,1
50,10,3,44,2,1
50,10,3,75,0,2
4,10,3,76,2,1
11,30,5,28,1,0
99,27,3,98,2,1
50,26,5,26,1,0
50,10,9,26,0,0
31,8,8,80,1,1
30,10,3,81,0,1
71,19,7,81,2,0
41,7,3,55,2,1
50,10,6,95,0,0
50,10,3,79,2,1
50,10,5,94,1,1
99,23,3,24,0,0
50,14,3,48,0,0
98,10,1,59,1,0
67,15,3,66,2,1
50,30,3,28,0,0
50,10,3,26,1,1
50,3,9,65,1,1
28,2,5,44,1,2
50,4,3,84,0,1
50,7,3,83,0,1
18,10,3,73,2,1
73,-4,3,92,0,2
91,0,3,39,2,2
50,1,2,94,2,2
63,23,3,80,0,1
50,10,3,42,1,1
50,10,3,60,0,0
4,10,10,37,0,0
50,16,2,45,1,1
11,10,5,42,2,2
50,10,1,40,1,1
71,10,4,99,1,0
49,10,3,80,2,1
50,-4,3,36,1,2
50,10,3,57,0,0
50,10,6,77,1,0
39,27,6,95,1,1
50,10,3,47,2,2
50,10,9,62,1,0
22,27,3,59,1,1
50,4,3,86,2,2
50,10,2,52,2,1
67,6,3,28,2,1
78,10,3,43,2,1
50,10,3,80,2,1
50,10,7,47,0,0
50,10,3,98,1,1
8,9,3,34,2,1
50,10,6,51,2,0
52,10,3,47,1,1
50,10,7,69,1,0
50,10,10,37,1,0
50,7,9,22,0,0
81,6,5,74,2,1
28,10,9,51,1,0
27,10,3,36,2,1
50,10,3,55,2,1
43,10,3,38,0,1
50,10,9,72,1,0
60,10,3,22,1,0
50,26,7,24,1,0
50,9,7,69,1,0
50,3,3,52,0,1
33,10,3,31,2,1
50,10,3,64,1,1
50,10,3,31,0,0
50,10,3,94,2,1
50,25,3,67,1,1
8,10,3,47,0,1
100,21,7,37,1,0
51,29,3,87,2,1
98,6,3,49,1,1
22,10,10,75,0,0
6,25,6,72,2,2
28,10,9,22,2,1
50,20,5,68,1,0
50,10,3,97,0,1
45,30,10,75,0,0
27,8,3,45,2,1
50,22,3,30,0,0
50,-1,3,34,0,2
50,10,4,77,2,1
50,10,3,51,1,1
50,17,8,20,0,0
42,12,6,71,2,1
50,9,3,33,2,1
37,30,3,57,2,1
94,13,6,89,2,1
93,17,3,79,0,0
50,10,1,32,0,0
48,30,3,61,2,1
96,10,7,48,1,0
98,10,9,59,2,0
34,10,7,24,0,0
43,17,3,45,0,0
98,10,3,22,0,0
50,10,6,53,2,0
42,10,3,40,2,1
50,10,10,34,0,0
50,26,9,74,2,1
75,5,3,62,1,1
26,10,2,29,0,1
33,17,3,58,2,1
50,-2,5,98,0,2
50,10,3,23,0,0
50,10,3,84,1,1
6,10,3,55,0,1
50,8,3,53,2,1
50,10,4,44,0,0
25,5,1,44,1,1
50,10,3,23,2,1
50,-2,1,41,1,2
75,16,3,48,2,1
81,-4,1,51,2,2
50,10,5,28,1,0
50,10,2,84,0,1
50,12,3,50,2,1
50,10,3,83,2,1
37,28,4,39,0,0
